-1.000000000000000056e-01,7.717500000000000249e+00,-8.811090930386062346e-05,4.675681244864679747e-04,0.000000000000000000e+00,7.717500000000000249e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.717499999949493983e+00,-1.780059346772406214e-04,9.309542240912432876e-04,4.675681244864680154e-05,7.717500000502982793e+00,0.000000000000000000e+00
1.000000000000000056e-01,7.717499999744750205e+00,-2.696596195231895860e-04,1.390210609547109198e-03,1.398522348577711317e-04,7.717500002002368298e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.717499999278102152e+00,-3.630468372080188468e-04,1.845388918921787727e-03,2.788732958124821057e-04,7.717500004455881246e+00,0.000000000000000000e+00
3.000000000000000444e-01,7.717499998438102082e+00,-4.581427868044857460e-04,2.296540126273424135e-03,4.634121877046609109e-04,7.717500007817331031e+00,0.000000000000000000e+00
4.000000000000000222e-01,7.717499997109665166e+00,-5.549229888898127121e-04,2.743714550194726112e-03,6.930662003320032594e-04,7.717500012036729196e+00,0.000000000000000000e+00
5.000000000000000000e-01,7.717499995174220473e+00,-6.533632813978389620e-04,3.186961862247194958e-03,9.674376553514759140e-04,7.717500017060395123e+00,0.000000000000000000e+00
6.000000000000000888e-01,7.717499992509844198e+00,-7.534398155246106862e-04,3.626331095286868238e-03,1.286133841576195301e-03,7.717500022831076834e+00,0.000000000000000000e+00
7.000000000000000666e-01,7.717499988991396442e+00,-8.551290516867244987e-04,4.061870651682970151e-03,1.648766951104882429e-03,7.717500029288046903e+00,0.000000000000000000e+00
8.000000000000000444e-01,7.717499984490657994e+00,-9.584077555317483711e-04,4.493628311430854574e-03,2.054954016273179314e-03,7.717500036367210825e+00,0.000000000000000000e+00
9.000000000000000222e-01,7.717499978876448452e+00,-1.063252994000051530e-03,4.921651240160599718e-03,2.504316847416265118e-03,7.717500044001213588e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.717499972014761234e+00,-1.169642131437383364e-03,5.345985997042601405e-03,2.996481971432325263e-03,7.717500052119527609e+00,0.000000000000000000e+00
1.100000000000000089e+00,7.717499963768872817e+00,-1.277552825757551471e-03,5.766678542591496814e-03,3.531080571136585317e-03,7.717500060648561977e+00,0.000000000000000000e+00
